74412,Tanacetum vulgare,OpenDryPoor
74413,Tanacetum vulgare,OpenDryPoor
74414,Tanacetum vulgare,OpenDryPoor
76712,Tanacetum vulgare,OpenDryPoor
76713,Tanacetum vulgare,OpenDryPoor
76714,Tanacetum vulgare,OpenDryPoor
76715,Tanacetum vulgare,OpenDryPoor
76716,Tanacetum vulgare,OpenDryPoor
79015,Tanacetum vulgare,OpenDryPoor
79016,Tanacetum vulgare,OpenDryPoor
88212,Tanacetum vulgare,OpenDryPoor
108892,Tanacetum vulgare,OpenDryPoor
111190,Tanacetum vulgare,OpenDryPoor
111191,Tanacetum vulgare,OpenDryPoor
113489,Tanacetum vulgare,OpenDryPoor
113490,Tanacetum vulgare,OpenDryPoor
115793,Tanacetum vulgare,OpenDryPoor
118093,Tanacetum vulgare,OpenDryPoor
161781,Tanacetum vulgare,OpenDryPoor
164080,Tanacetum vulgare,OpenDryPoor
177874,Tanacetum vulgare,OpenDryPoor
180170,Tanacetum vulgare,OpenDryPoor
180175,Tanacetum vulgare,OpenDryPoor
180176,Tanacetum vulgare,OpenDryPoor
182453,Tanacetum vulgare,OpenDryPoor
182454,Tanacetum vulgare,OpenDryPoor
182472,Tanacetum vulgare,OpenDryPoor
184751,Tanacetum vulgare,OpenDryPoor
184753,Tanacetum vulgare,OpenDryPoor
184754,Tanacetum vulgare,OpenDryPoor
184769,Tanacetum vulgare,OpenDryPoor
187049,Tanacetum vulgare,OpenDryPoor
187050,Tanacetum vulgare,OpenDryPoor
187051,Tanacetum vulgare,OpenDryPoor
187052,Tanacetum vulgare,OpenDryPoor
187053,Tanacetum vulgare,OpenDryPoor
187054,Tanacetum vulgare,OpenDryPoor
187067,Tanacetum vulgare,OpenDryPoor
187068,Tanacetum vulgare,OpenDryPoor
189347,Tanacetum vulgare,OpenDryPoor
189349,Tanacetum vulgare,OpenDryPoor
189350,Tanacetum vulgare,OpenDryPoor
189351,Tanacetum vulgare,OpenDryPoor
189352,Tanacetum vulgare,OpenDryPoor
189372,Tanacetum vulgare,OpenDryPoor
189373,Tanacetum vulgare,OpenDryPoor
191671,Tanacetum vulgare,OpenDryPoor
193966,Tanacetum vulgare,OpenDryPoor
196266,Tanacetum vulgare,OpenDryPoor
216967,Tanacetum vulgare,OpenDryPoor
221552,Tanacetum vulgare,OpenDryPoor
235346,Tanacetum vulgare,OpenDryPoor
235347,Tanacetum vulgare,OpenDryPoor
235348,Tanacetum vulgare,OpenDryPoor
237645,Tanacetum vulgare,OpenDryPoor
267553,Tanacetum vulgare,OpenDryPoor
267554,Tanacetum vulgare,OpenDryPoor
269853,Tanacetum vulgare,OpenDryPoor
274455,Tanacetum vulgare,OpenDryPoor
278984,Tanacetum vulgare,OpenDryPoor
278985,Tanacetum vulgare,OpenDryPoor
281248,Tanacetum vulgare,OpenDryPoor
281284,Tanacetum vulgare,OpenDryPoor
281285,Tanacetum vulgare,OpenDryPoor
281286,Tanacetum vulgare,OpenDryPoor
283544,Tanacetum vulgare,OpenDryPoor
283545,Tanacetum vulgare,OpenDryPoor
283548,Tanacetum vulgare,OpenDryPoor
283596,Tanacetum vulgare,OpenDryPoor
283597,Tanacetum vulgare,OpenDryPoor
283658,Tanacetum vulgare,OpenDryPoor
285842,Tanacetum vulgare,OpenDryPoor
285844,Tanacetum vulgare,OpenDryPoor
285846,Tanacetum vulgare,OpenDryPoor
285847,Tanacetum vulgare,OpenDryPoor
285883,Tanacetum vulgare,OpenDryPoor
285896,Tanacetum vulgare,OpenDryPoor
285897,Tanacetum vulgare,OpenDryPoor
285898,Tanacetum vulgare,OpenDryPoor
285899,Tanacetum vulgare,OpenDryPoor
285958,Tanacetum vulgare,OpenDryPoor
288117,Tanacetum vulgare,OpenDryPoor
288143,Tanacetum vulgare,OpenDryPoor
288144,Tanacetum vulgare,OpenDryPoor
288146,Tanacetum vulgare,OpenDryPoor
288147,Tanacetum vulgare,OpenDryPoor
288183,Tanacetum vulgare,OpenDryPoor
288184,Tanacetum vulgare,OpenDryPoor
288185,Tanacetum vulgare,OpenDryPoor
288186,Tanacetum vulgare,OpenDryPoor
288257,Tanacetum vulgare,OpenDryPoor
290416,Tanacetum vulgare,OpenDryPoor
290455,Tanacetum vulgare,OpenDryPoor
290456,Tanacetum vulgare,OpenDryPoor
290489,Tanacetum vulgare,OpenDryPoor
290490,Tanacetum vulgare,OpenDryPoor
292716,Tanacetum vulgare,OpenDryPoor
292770,Tanacetum vulgare,OpenDryPoor
292771,Tanacetum vulgare,OpenDryPoor
292772,Tanacetum vulgare,OpenDryPoor
292788,Tanacetum vulgare,OpenDryPoor
292789,Tanacetum vulgare,OpenDryPoor
292790,Tanacetum vulgare,OpenDryPoor
295037,Tanacetum vulgare,OpenDryPoor
295069,Tanacetum vulgare,OpenDryPoor
295070,Tanacetum vulgare,OpenDryPoor
295087,Tanacetum vulgare,OpenDryPoor
295088,Tanacetum vulgare,OpenDryPoor
295090,Tanacetum vulgare,OpenDryPoor
295107,Tanacetum vulgare,OpenDryPoor
295154,Tanacetum vulgare,OpenDryPoor
295155,Tanacetum vulgare,OpenDryPoor
295156,Tanacetum vulgare,OpenDryPoor
297370,Tanacetum vulgare,OpenDryPoor
297387,Tanacetum vulgare,OpenDryPoor
297388,Tanacetum vulgare,OpenDryPoor
297390,Tanacetum vulgare,OpenDryPoor
297407,Tanacetum vulgare,OpenDryPoor
299688,Tanacetum vulgare,OpenDryPoor
299689,Tanacetum vulgare,OpenDryPoor
299707,Tanacetum vulgare,OpenDryPoor
302007,Tanacetum vulgare,OpenDryPoor
302008,Tanacetum vulgare,OpenDryPoor
304217,Tanacetum vulgare,OpenDryPoor
304307,Tanacetum vulgare,OpenDryPoor
304308,Tanacetum vulgare,OpenDryPoor
306517,Tanacetum vulgare,OpenDryPoor
306608,Tanacetum vulgare,OpenDryPoor
313415,Tanacetum vulgare,OpenDryPoor
315715,Tanacetum vulgare,OpenDryPoor
315774,Tanacetum vulgare,OpenDryPoor
318015,Tanacetum vulgare,OpenDryPoor
318017,Tanacetum vulgare,OpenDryPoor
318018,Tanacetum vulgare,OpenDryPoor
318073,Tanacetum vulgare,OpenDryPoor
318074,Tanacetum vulgare,OpenDryPoor
318075,Tanacetum vulgare,OpenDryPoor
318076,Tanacetum vulgare,OpenDryPoor
318132,Tanacetum vulgare,OpenDryPoor
320315,Tanacetum vulgare,OpenDryPoor
320317,Tanacetum vulgare,OpenDryPoor
320318,Tanacetum vulgare,OpenDryPoor
320372,Tanacetum vulgare,OpenDryPoor
320378,Tanacetum vulgare,OpenDryPoor
322615,Tanacetum vulgare,OpenDryPoor
322617,Tanacetum vulgare,OpenDryPoor
322672,Tanacetum vulgare,OpenDryPoor
322673,Tanacetum vulgare,OpenDryPoor
322674,Tanacetum vulgare,OpenDryPoor
322677,Tanacetum vulgare,OpenDryPoor
322678,Tanacetum vulgare,OpenDryPoor
322731,Tanacetum vulgare,OpenDryPoor
322733,Tanacetum vulgare,OpenDryPoor
322734,Tanacetum vulgare,OpenDryPoor
322735,Tanacetum vulgare,OpenDryPoor
324973,Tanacetum vulgare,OpenDryPoor
324974,Tanacetum vulgare,OpenDryPoor
324975,Tanacetum vulgare,OpenDryPoor
324976,Tanacetum vulgare,OpenDryPoor
324977,Tanacetum vulgare,OpenDryPoor
324978,Tanacetum vulgare,OpenDryPoor
324979,Tanacetum vulgare,OpenDryPoor
325032,Tanacetum vulgare,OpenDryPoor
325034,Tanacetum vulgare,OpenDryPoor
325035,Tanacetum vulgare,OpenDryPoor
327209,Tanacetum vulgare,OpenDryPoor
327214,Tanacetum vulgare,OpenDryPoor
327274,Tanacetum vulgare,OpenDryPoor
327275,Tanacetum vulgare,OpenDryPoor
327276,Tanacetum vulgare,OpenDryPoor
327277,Tanacetum vulgare,OpenDryPoor
327278,Tanacetum vulgare,OpenDryPoor
327280,Tanacetum vulgare,OpenDryPoor
327281,Tanacetum vulgare,OpenDryPoor
327282,Tanacetum vulgare,OpenDryPoor
327333,Tanacetum vulgare,OpenDryPoor
327334,Tanacetum vulgare,OpenDryPoor
329553,Tanacetum vulgare,OpenDryPoor
329554,Tanacetum vulgare,OpenDryPoor
329555,Tanacetum vulgare,OpenDryPoor
329556,Tanacetum vulgare,OpenDryPoor
329576,Tanacetum vulgare,OpenDryPoor
329577,Tanacetum vulgare,OpenDryPoor
329580,Tanacetum vulgare,OpenDryPoor
329581,Tanacetum vulgare,OpenDryPoor
329582,Tanacetum vulgare,OpenDryPoor
329583,Tanacetum vulgare,OpenDryPoor
329584,Tanacetum vulgare,OpenDryPoor
331856,Tanacetum vulgare,OpenDryPoor
331880,Tanacetum vulgare,OpenDryPoor
331881,Tanacetum vulgare,OpenDryPoor
331883,Tanacetum vulgare,OpenDryPoor
331884,Tanacetum vulgare,OpenDryPoor
331905,Tanacetum vulgare,OpenDryPoor
331906,Tanacetum vulgare,OpenDryPoor
334109,Tanacetum vulgare,OpenDryPoor
334153,Tanacetum vulgare,OpenDryPoor
334156,Tanacetum vulgare,OpenDryPoor
334157,Tanacetum vulgare,OpenDryPoor
334180,Tanacetum vulgare,OpenDryPoor
334181,Tanacetum vulgare,OpenDryPoor
334182,Tanacetum vulgare,OpenDryPoor
334183,Tanacetum vulgare,OpenDryPoor
334205,Tanacetum vulgare,OpenDryPoor
334206,Tanacetum vulgare,OpenDryPoor
334207,Tanacetum vulgare,OpenDryPoor
336410,Tanacetum vulgare,OpenDryPoor
336411,Tanacetum vulgare,OpenDryPoor
336454,Tanacetum vulgare,OpenDryPoor
336455,Tanacetum vulgare,OpenDryPoor
336456,Tanacetum vulgare,OpenDryPoor
336503,Tanacetum vulgare,OpenDryPoor
336504,Tanacetum vulgare,OpenDryPoor
336505,Tanacetum vulgare,OpenDryPoor
336506,Tanacetum vulgare,OpenDryPoor
338754,Tanacetum vulgare,OpenDryPoor
338788,Tanacetum vulgare,OpenDryPoor
338803,Tanacetum vulgare,OpenDryPoor
338804,Tanacetum vulgare,OpenDryPoor
341087,Tanacetum vulgare,OpenDryPoor
341088,Tanacetum vulgare,OpenDryPoor
341104,Tanacetum vulgare,OpenDryPoor
341105,Tanacetum vulgare,OpenDryPoor
341106,Tanacetum vulgare,OpenDryPoor
341107,Tanacetum vulgare,OpenDryPoor
343388,Tanacetum vulgare,OpenDryPoor
345687,Tanacetum vulgare,OpenDryPoor
345689,Tanacetum vulgare,OpenDryPoor
347988,Tanacetum vulgare,OpenDryPoor
347989,Tanacetum vulgare,OpenDryPoor
357265,Tanacetum vulgare,OpenDryPoor
357266,Tanacetum vulgare,OpenDryPoor
359564,Tanacetum vulgare,OpenDryPoor
359566,Tanacetum vulgare,OpenDryPoor
361864,Tanacetum vulgare,OpenDryPoor
361865,Tanacetum vulgare,OpenDryPoor
364030,Tanacetum vulgare,OpenDryPoor
364164,Tanacetum vulgare,OpenDryPoor
364165,Tanacetum vulgare,OpenDryPoor
364167,Tanacetum vulgare,OpenDryPoor
364168,Tanacetum vulgare,OpenDryPoor
366329,Tanacetum vulgare,OpenDryPoor
366464,Tanacetum vulgare,OpenDryPoor
366465,Tanacetum vulgare,OpenDryPoor
368628,Tanacetum vulgare,OpenDryPoor
368629,Tanacetum vulgare,OpenDryPoor
368630,Tanacetum vulgare,OpenDryPoor
370928,Tanacetum vulgare,OpenDryPoor
370930,Tanacetum vulgare,OpenDryPoor
375628,Tanacetum vulgare,OpenDryPoor
375629,Tanacetum vulgare,OpenDryPoor
377928,Tanacetum vulgare,OpenDryPoor
377929,Tanacetum vulgare,OpenDryPoor
377930,Tanacetum vulgare,OpenDryPoor
380227,Tanacetum vulgare,OpenDryPoor
380229,Tanacetum vulgare,OpenDryPoor
380230,Tanacetum vulgare,OpenDryPoor
382442,Tanacetum vulgare,OpenDryPoor
382523,Tanacetum vulgare,OpenDryPoor
382526,Tanacetum vulgare,OpenDryPoor
382528,Tanacetum vulgare,OpenDryPoor
382530,Tanacetum vulgare,OpenDryPoor
384695,Tanacetum vulgare,OpenDryPoor
384696,Tanacetum vulgare,OpenDryPoor
384726,Tanacetum vulgare,OpenDryPoor
384822,Tanacetum vulgare,OpenDryPoor
384823,Tanacetum vulgare,OpenDryPoor
384824,Tanacetum vulgare,OpenDryPoor
384825,Tanacetum vulgare,OpenDryPoor
